DN;OD;WTHK
8;13.5;1.6
10;17.2;1.6
15;21.3;1.6
20;26.9;1.6
25;33.7;2.0
32;42.4;2.0
40;48.3;2.0
50;60.3;2.0
65;76.1;2.0
80;88.9;2.0
100;114.3;2.6
125;139.7;2.6
150;168.3;2.6
200;219.1;3.0
250;273.0;3.0
300;323.9;3.0
350;355.6;3.0
